0,Description,Typical Array,Mean,Std,5%,95%
146,"146.Sum of 3d4+6, 6 Rolls, Best of 3 Arrays",11.53; 12.8; 13.75; 14.61; 15.53; 16.67,36.58,7.6,25,50
147,"147.Sum of 3d4+6, 6 Rolls, Best of 6 Arrays",11.78; 13.1; 14.09; 14.97; 15.9; 16.98,40.82,6.84,31,53
148,"148.Sum of 3d4+6, Reroll 1s, 6 Rolls",13.24; 14.07; 14.71; 15.3; 15.93; 16.76,45.79,8.81,32,61
149,"149.Sum of 3d4+6, Reroll 1s, 6 Rolls, Best of 3 Arrays",13.62; 14.53; 15.21; 15.83; 16.46; 17.25,53.32,7.08,42,66
150,"150.Sum of 3d4+6, Reroll 1s, 6 Rolls, Best of 6 Arrays",13.82; 14.77; 15.48; 16.09; 16.71; 17.46,57.3,6.25,48,68
151,"151.Sum of 3d4+6, Reroll 1s/2s, 6 Rolls",15.46; 15.94; 16.32; 16.68; 17.06; 17.54,69.75,6.93,60,81
152,"152.Sum of 3d4+6, Reroll 1s/2s, 6 Rolls, Best of 3 Arrays",15.71; 16.22; 16.65; 17.0; 17.37; 17.82,75.63,5.36,67,84
153,"153.Sum of 3d4+6, Reroll 1s/2s, 6 Rolls, Best of 6 Arrays",15.84; 16.39; 16.83; 17.13; 17.56; 17.93,78.65,4.65,72,87
154,"154.Sum of 3d4+6, Best 6 of 7 Rolls",12.0; 12.79; 13.5; 14.21; 15.0; 16.09,32.67,9.29,19,49
155,"155.Sum of 3d4+6, Best 6 of 7 Rolls, Best of 3 Arrays",12.47; 13.35; 14.13; 14.89; 15.72; 16.78,40.68,7.76,29,54
156,"156.Sum of 3d4+6, Best 6 of 7 Rolls, Best of 6 Arrays",12.72; 13.65; 14.46; 15.23; 16.07; 17.07,45.03,6.97,35,57
157,"157.Sum of 3d4+6, Reroll 1s, Best 6 of 7 Rolls",13.91; 14.48; 15.0; 15.52; 16.09; 16.87,49.91,8.91,36,65
158,"158.Sum of 3d4+6, Reroll 1s, Best 6 of 7 Rolls, Best of 3 Arrays",14.29; 14.93; 15.49; 16.02; 16.6; 17.33,57.55,7.09,47,70
159,"159.Sum of 3d4+6, Reroll 1s, Best 6 of 7 Rolls, Best of 6 Arrays",14.49; 15.16; 15.74; 16.26; 16.84; 17.53,61.53,6.22,52,73
160,"160.Sum of 3d4+6, Reroll 1s/2s, Best 6 of 7 Rolls",15.85; 16.18; 16.5; 16.82; 17.15; 17.6,73.17,6.81,63,84
161,"161.Sum of 3d4+6, Reroll 1s/2s, Best 6 of 7 Rolls, Best of 3 Arrays",16.08; 16.47; 16.83; 17.1; 17.47; 17.88,78.96,5.24,70,87
162,"162.Sum of 3d4+6, Reroll 1s/2s, Best 6 of 7 Rolls, Best of 6 Arrays",16.2; 16.64; 16.96; 17.23; 17.67; 17.96,81.9,4.54,75,90
163,"163.Sum of 3d4+6, Best 6 of 9 Rolls",12.95; 13.5; 14.05; 14.65; 15.34; 16.32,38.37,9.63,24,55
164,"164.Sum of 3d4+6, Reroll 1s, Best 6 of 9 Rolls",14.59; 15.0; 15.4; 15.83; 16.33; 17.04,55.71,8.9,41,70
165,"165.Sum of 3d4+6, Reroll 1s/2s, Best 6 of 9 Rolls",16.24; 16.5; 16.76; 17.0; 17.29; 17.7,77.61,6.65,66,90
166,"166.Sum of 3d4+6, Best 6 of 12 Rolls",13.71; 14.13; 14.58; 15.08; 15.69; 16.57,44.59,9.72,30,61
167,"167.Sum of 3d4+6, Reroll 1s, Best 6 of 12 Rolls",15.15; 15.46; 15.79; 16.15; 16.59; 17.21,61.66,8.71,48,76
168,"168.Sum of 3d4+6, Reroll 1s/2s, Best 6 of 12 Rolls",16.61; 16.82; 16.98; 17.16; 17.45; 17.8,81.97,6.28,72,91
169,"169.Sum the Best 3 of 4d4+6, 6 Rolls",12.04; 13.24; 14.09; 14.84; 15.63; 16.63,39.37,9.91,24,57
170,"170.Sum the Best 3 of 4d4+6, 6 Rolls, Best of 3 Arrays",12.57; 13.85; 14.73; 15.5; 16.29; 17.21,47.9,8.01,36,62
171,"171.Sum the Best 3 of 4d4+6, 6 Rolls, Best of 6 Arrays",12.86; 14.17; 15.06; 15.83; 16.61; 17.45,52.41,7.1,42,65
172,"172.Sum the Best 3 of 4d4+6, Reroll 1s, 6 Rolls",13.91; 14.81; 15.43; 15.97; 16.55; 17.26,56.01,9.23,41,71
173,"173.Sum the Best 3 of 4d4+6, Reroll 1s, 6 Rolls, Best of 3 Arrays",14.36; 15.3; 15.92; 16.45; 17.03; 17.65,63.88,7.14,53,76
174,"174.Sum the Best 3 of 4d4+6, Reroll 1s, 6 Rolls, Best of 6 Arrays",14.6; 15.55; 16.15; 16.68; 17.26; 17.79,67.9,6.2,58,79
175,"175.Sum the Best 3 of 4d4+6, Reroll 1s/2s, 6 Rolls",15.79; 16.35; 16.75; 17.09; 17.45; 17.82,77.26,7.13,66,90
176,"176.Sum the Best 3 of 4d4+6, Reroll 1s/2s, 6 Rolls, Best of 3 Arrays",16.09; 16.69; 17.05; 17.4; 17.79; 17.98,83.27,5.28,75,91
177,"177.Sum the Best 3 of 4d4+6, Reroll 1s/2s, 6 Rolls, Best of 6 Arrays",16.26; 16.85; 17.18; 17.61; 17.93; 18.0,86.25,4.48,79,94
178,"178.Sum the Best 3 of 4d4+6, Best 6 of 7 Rolls",13.02; 13.8; 14.47; 15.12; 15.83; 16.76,43.97,10.13,28,61
179,"179.Sum the Best 3 of 4d4+6, Best 6 of 7 Rolls, Best of 3 Arrays",13.53; 14.38; 15.08; 15.75; 16.46; 17.31,52.65,8.08,40,67
180,"180.Sum the Best 3 of 4d4+6, Best 6 of 7 Rolls, Best of 6 Arrays",13.8; 14.67; 15.39; 16.06; 16.76; 17.52,57.19,7.11,46,70
181,"181.Sum the Best 3 of 4d4+6, Reroll 1s, Best 6 of 7 Rolls",14.64; 15.22; 15.71; 16.17; 16.69; 17.36,60.65,9.15,46,76
182,"182.Sum the Best 3 of 4d4+6, Reroll 1s, Best 6 of 7 Rolls, Best of 3 Arrays",15.05; 15.67; 16.15; 16.62; 17.16; 17.72,68.44,6.99,57,80
183,"183.Sum the Best 3 of 4d4+6, Reroll 1s, Best 6 of 7 Rolls, Best of 6 Arrays",15.27; 15.89; 16.36; 16.86; 17.38; 17.85,72.37,6.03,63,83
184,"184.Sum the Best 3 of 4d4+6, Reroll 1s/2s, Best 6 of 7 Rolls",16.24; 16.62; 16.93; 17.21; 17.55; 17.87,81,6.88,69,91
185,"185.Sum the Best 3 of 4d4+6, Reroll 1s/2s, Best 6 of 7 Rolls, Best of 3 Arrays",16.53; 16.92; 17.18; 17.55; 17.88; 17.99,86.79,5.02,79,94
186,"186.Sum the Best 3 of 4d4+6, Reroll 1s/2s, Best 6 of 7 Rolls, Best of 6 Arrays",16.67; 17.03; 17.35; 17.78; 17.98; 18.0,89.6,4.22,83,98
187,"187.Sum the Best 3 of 4d4+6, Best 6 of 9 Rolls",13.96; 14.48; 14.98; 15.52; 16.14; 16.96,50.57,10.14,34,67
188,"188.Sum the Best 3 of 4d4+6, Reroll 1s, Best 6 of 9 Rolls",15.34; 15.71; 16.07; 16.46; 16.92; 17.5,66.87,8.82,52,81
